epoch,train-perplexity,test-perplexity,val-perplexity,dropout
1,673.0624068265392,265.56285524718083,301.9549619405585,0.3
2,225.70143187482097,153.41116494548822,179.48574930633475,0.3
3,156.78083221637837,109.66952052722975,125.21900124568204,0.3
4,129.27479054857673,93.0111450853991,106.93972291355087,0.3
5,113.27468741754566,80.1105221370887,90.82323394629573,0.3
6,101.93411493331877,70.62007163677241,79.93444296481914,0.3
7,93.33022483773044,63.593639201486255,71.62638101175264,0.3
8,86.61569108004642,57.68493352544037,64.6305331255902,0.3
9,80.4330652639586,52.739056017810334,58.276819121861124,0.3
10,75.32321804349576,48.48083839646396,53.238602422124764,0.3
11,70.53723073861363,44.655051374148485,49.28234303888225,0.3
12,66.28852954390067,41.58785130117899,45.58155397262436,0.3
13,62.275814677981344,38.41545689595948,41.71920490396324,0.3
14,59.12988254781431,35.805710413436934,38.24289788484408,0.3
15,56.244018088825875,33.307295622613026,35.697865803825145,0.3
16,53.45122789193454,31.260582322549908,33.51510064995887,0.3
17,51.21032120353922,29.401339985552877,31.161980317357365,0.3
18,49.41283868331897,28.058565889704855,29.626766656275947,0.3
19,47.381458525544105,26.490793097252286,27.63106737937982,0.3
20,45.837872158433186,25.513488577268657,26.5405758231105,0.3
21,44.33102151456516,24.361716384029815,25.21381344179112,0.3
22,43.262334601923015,23.248208882606548,23.758903821284196,0.3
23,41.94194186615437,22.685030677075297,22.89556407352832,0.3
24,41.04372537241246,21.549477319848403,21.805321321939907,0.3
25,39.76680408220083,20.88826443421355,21.26365310018724,0.3
26,39.0149435346725,20.221717922483876,20.249021660957666,0.3
27,38.453019188559715,19.586373071992313,19.559345105942118,0.3
28,37.451061149806144,19.230362154772404,19.12438130063458,0.3
29,36.9217008324054,18.616250537702943,18.42032382582301,0.3
30,36.34917718843502,18.05320973513653,18.07421115509165,0.3
31,35.70692826342944,17.9898603942484,17.633865905212847,0.3
32,35.26672230384801,17.28991156394386,16.90084815391036,0.3
33,34.77220171903999,17.007838166415166,16.637591818309048,0.3
34,34.16971096100479,16.941615499605533,16.384674808820776,0.3
35,33.83224863379552,16.22352614448329,15.771208415372316,0.3
36,33.02759631253592,15.945670777796776,15.450902493088435,0.3
37,32.934389125508105,15.872885367023864,15.265540452214923,0.3
38,32.538420730547784,15.347594159350209,14.599257458840569,0.3
39,32.13092904770379,15.174822590392408,14.728271602612509,0.3
40,29.90919492042395,12.911667529769895,12.51531769093616,0.3
