epoch,train-perplexity,test-perplexity,val-perplexity,dropout
1,700.7432762252066,242.16348455684843,271.25407420253805,0.0
2,213.80245692748247,154.7807563058314,183.09165536481956,0.0
3,142.18303910543094,106.10552826534513,123.92151339066358,0.0
4,112.43021101420626,86.49071908162706,99.86169846476554,0.0
5,93.91022632221546,71.77745052011953,81.73686345619188,0.0
6,80.40229114716061,60.97636057429068,68.30439713510513,0.0
7,68.60359795433386,53.88583980582291,59.33131623953186,0.0
8,57.569570421319916,45.874920003466734,50.333998293767415,0.0
9,48.13809161248478,40.23780675460004,43.593923845864666,0.0
10,40.445530594019544,35.42413130478385,38.68170253962362,0.0
11,34.35639293914512,32.0525393114774,34.76015218543555,0.0
12,29.576843238159864,28.853938581041724,31.18908336796283,0.0
13,25.822101413648035,26.503234207840833,28.24747796896383,0.0
14,22.991455179830588,23.62320942877195,24.941491602996145,0.0
15,20.512961895787594,22.654729392960963,23.770200777461138,0.0
16,18.65352377159754,20.3460852955837,21.76484329445261,0.0
17,17.017103498397056,19.57968636634743,20.287094851209343,0.0
18,15.712894490469665,18.42477409425964,19.494955471382454,0.0
19,14.660624936173056,17.13664702951232,17.21971115537845,0.0
20,13.86094075184325,16.98336620765987,17.225027706999054,0.0
21,12.613614358884535,10.847216223362212,11.201304295210491,0.0
22,9.231696596687215,9.769590646328627,9.981898807597279,0.0
23,7.644176350545321,9.0223243601601,9.15449907236054,0.0
24,6.665855209010342,8.510158072043021,8.682743666088411,0.0
25,5.972217343574525,8.080067264641926,8.189790353750316,0.0
26,5.446302988148981,7.735703315808976,7.811367575647462,0.0
27,5.0209784700047395,7.555161316270733,7.57506494301864,0.0
28,4.6830768886010175,7.13352996774102,7.196077254426904,0.0
29,4.393910473364801,6.985664991731247,7.016520031250869,0.0
30,4.1564439687780075,6.755866945968226,6.7134003531623625,0.0
31,3.9466450565267888,6.587077511871276,6.553061055839926,0.0
32,3.7500578452686626,6.490194387692085,6.396667165319763,0.0
33,3.583145189128003,6.2197549525121625,6.1793779375929185,0.0
34,3.4338308420203716,6.181588977916738,6.152152563907545,0.0
35,3.296270246084701,5.961142376417679,5.961256896605631,0.0
36,3.1845768409669164,5.906812374862757,5.855653773544092,0.0
37,3.0778541065081217,5.842987023080568,5.726205738833632,0.0
38,2.9782842127544513,5.713517202446693,5.621381011341906,0.0
39,2.89041987049314,5.573775810737343,5.412118108165513,0.0
40,2.8001399166041394,5.41208406884778,5.304156856809,0.0
