epoch,Dropout 0.0,Dropout 0.3,Dropout 0.5,Dropout 0.7,Dropout 0.9
1,700.7432762252066,673.0624068265392,678.4518354281792,709.3777246878734,736.6244380695408
2,213.80245692748247,225.70143187482097,236.3452422150933,272.77211383255093,394.26786907899503
3,142.18303910543094,156.78083221637837,173.81992554055668,212.1002327664362,352.85941414960666
4,112.43021101420626,129.27479054857673,145.41199957852837,184.03928153372337,336.6601671942973
5,93.91022632221546,113.27468741754566,129.70423752155068,167.54443074288923,328.5774119060092
6,80.40229114716061,101.93411493331875,119.95423445867512,158.3860398395176,322.9639532419937
7,68.60359795433386,93.33022483773044,112.24916388616217,149.9603909142076,317.1720209934926
8,57.56957042131992,86.61569108004642,106.980745891344,144.4938046656367,316.4298560025997
9,48.13809161248478,80.4330652639586,101.98347409474756,140.5142174917033,312.32340979882576
10,40.44553059401954,75.32321804349576,98.26214955177264,137.00534261485396,310.2125387277991
11,34.35639293914512,70.53723073861363,95.14851990897075,134.40463661390018,309.5991678307868
12,29.576843238159864,66.28852954390067,91.18549485881287,131.48986133549593,309.5381486982432
13,25.822101413648035,62.275814677981344,89.38973653882816,129.01311665805457,308.4006033643637
14,22.991455179830588,59.12988254781431,86.86495551248858,127.748122777802,310.3542393317662
15,20.512961895787598,56.24401808882588,84.58983631262215,125.54202068167707,307.95033837222275
16,18.65352377159754,53.45122789193454,82.8091827938695,123.92641033381496,307.2010450918031
17,17.017103498397056,51.21032120353922,80.90478521815396,122.69338981363605,310.1358305357855
18,15.712894490469663,49.41283868331897,79.15318635347514,121.42023098845024,306.64478960581613
19,14.660624936173056,47.381458525544105,77.57498297160741,120.41755733562955,301.51354641400417
20,13.86094075184325,45.83787215843319,76.39894322658749,119.82858800228398,289.58655882026414
21,12.613614358884536,44.33102151456516,74.72027439877041,118.20703659587724,283.577055707088
22,9.231696596687216,43.262334601923015,73.63158025316143,116.30739175772511,280.63939029051824
23,7.644176350545321,41.94194186615437,72.6165636414061,117.09213923256895,275.9058109104759
24,6.665855209010342,41.04372537241246,71.87811779142784,115.67482742629106,273.84438839542065
25,5.972217343574525,39.76680408220083,69.96204968075872,114.63259875148614,271.30945993526643
26,5.446302988148981,39.0149435346725,69.27210449338628,114.4068180410019,270.0020807811392
27,5.02097847000474,38.45301918855972,68.1783782759764,113.55893884891262,268.09576065328343
28,4.6830768886010175,37.451061149806144,67.48471004599443,113.36014265233966,266.11151952637624
29,4.393910473364801,36.9217008324054,66.47282120520299,112.32576922559127,264.2831508614018
30,4.156443968778008,36.34917718843502,66.2124511017851,111.60435362015907,264.6164254524201
31,3.9466450565267888,35.70692826342944,65.45328436014125,111.80453184911232,260.058337556334
32,3.750057845268663,35.26672230384801,64.53381977862885,106.4237742533492,258.39332184525983
33,3.583145189128003,34.77220171903999,64.35375742624282,102.72538956772648,257.008082161824
34,3.433830842020372,34.16971096100479,63.54375950191393,100.39408618225546,256.1837783310436
35,3.296270246084701,33.83224863379552,62.814277263613306,99.20820770750002,255.1870883297613
36,3.1845768409669164,33.02759631253592,62.25416884443595,98.67888426805642,255.3062593155556
37,3.0778541065081217,32.934389125508105,61.53111049829988,97.43702678882336,252.7180515346932
38,2.9782842127544518,32.538420730547784,61.3156563585548,96.98760178888112,252.2574436093308
39,2.89041987049314,32.13092904770379,57.07494014890797,95.9988121823445,252.99547688466413
40,2.8001399166041394,29.90919492042395,53.61190157007928,95.7630254294027,251.6954293290009
